id	author	pubb_w	pubbl_it	pubbl_la
104	Guido Guinizelli	Io_voglio_del_ver_la_mia_donna_laudare	Io_voglio_del_ver_la_mia_donna_laudare	-
105	Guido Cavalcanti	Rime	Chi_è_questa_che_ven,_ch'ogn'om_la_mira	-
106	Guido Cavalcanti	-	Perch'i'_non_spero_di_tornar_giammai	-
107	Guido Cavalcanti	-	Voi_che_per_li_occhi_mi_passaste_'l_core	-
108	Cino da Pistoia	-	Io fui 'n su l’alto e 'n sul beato monte	-
109	Cecco Angiolieri	S'i_fosse_foco	S'i'_fosse_foco,_arderei_%27l_mondo	-
110	Cecco Angiolieri	Becchin'amor!_-_Che_vuo',_falso_tradito?	Becchin'amor!_Che_vuo',_falso_tradito	-
111	Iacopone da Todi	Donna_de_Paradiso	Donna_de_Paradiso	-
112	Iacopone da Todi	O papa Bonifazio...	Laude/83	-
113	Dante Alighieri	Vita_nuova	Vita_nuova	-
114	Dante Alighieri	Beatrice_Portinari (approfondimento)	-	-
115	Dante Alighieri	Convivio	Convivio	-
116	Dante Alighieri	Le_Rime	Rime_(Dante)	-
117	Dante Alighieri	Guido,_i'_vorrei_che_tu_e_Lapo_ed_io	Guido,_i'_vorrei_che_tu_e_Lapo_ed_io	-
118	Dante Alighieri	Tanto_gentile_e_tanto_onesta_pare	Tanto_gentile_e_tanto_onesta_pare	-
119	Dante Alighieri	De_vulgari_eloquentia	De la volgare eloquenza	-
120	Dante Alighieri	Divina_Commedia	Opera:Divina_Commedia	-
121	Dante Alighieri	Monarchia_(Dante)	Monarchia	-
122	Dante Alighieri	Epistole_(Dante_Alighieri)	Epistole_(Dante)	-
123	Dante Alighieri	Epistola_XIII_a_Cangrande_della_Scala	-	-
124	Dante Alighieri	Egloghe	Egloghe	-
125	Dante Alighieri	Quaestio_de_aqua_et_terra	-	-
126	Marco Polo	Il_Milione	Milione	-
127	Franco Sacchetti	Il_Trecentonovelle	Il_Trecentonovelle	-
128	Petrarca	Laura_de_Noves	-	-
129	Petrarca	Epistole	Epistolae_familiares	-
130	Petrarca	Secretum	Il_mio_segreto	-
131	Petrarca	Canzoniere	Canzoniere	-
132	Petrarca	Voi ch'ascoltate in rime sparse il suono	Voi ch'ascoltate in rime sparse il suono	-
133	Petrarca	Chiare,_fresche_et_dolci_acque	Chiare,_fresche_et_dolci_acque	-
134	Petrarca	Erano_i_capei_d'oro_a_l'aura_sparsi	Erano_i_capei_d'oro_a_l'aura_sparsi	-
135	Petrarca	Italia_mia,_benché_'l_parlar_sia_indarno	Italia_mia,_benché_'l_parlar_sia_indarno	-
136	Petrarca	Solo_et_pensoso_i_più_deserti_campi	Solo_et_pensoso_i_più_deserti_campi	-
137	Petrarca	I_Trionfi	Trionfi	-
138	Boccaccio	Opere_della_giovinezza_di_Giovanni_Boccaccio	-	-
139	Boccaccio	Filostrato	Il Filostrato	-
140	Boccaccio	Comedia_delle_ninfe_fiorentine	Canto_di_Ameto	-
141	Boccaccio	Decameron	Decameron	-
142	Boccaccio	Struttura_del_Decameron	-	-
143	Boccaccio	Il_Corbaccio	Il_Corbaccio	-
144	Lorenzo de' Medici	Il_trionfo_di_Bacco_e_Arianna	Canzona di Bacco	-
145	Luigi Pulci	Morgante_(poema)	Morgante_maggiore	-
146	Matteo Maria Boiardo	Amorum_libri_tres	--	-
147	Matteo Maria Boiardo	Orlando_innamorato	Orlando_innamorato	-
148	Poliziano	Rime	Ben_venga_maggio	-
149	Machiavelli	Machiavellismo	-	-
150	Machiavelli	Il_principe	Il_Principe	-
151	Machiavelli	Cesare_Borgia (approfondimento al Principe)	-	-
152	Machiavelli	Discorsi_sopra_la_prima_Deca_di_Tito_Livio	Discorsi_sopra_la_prima_Deca_di_Tito_Livio	-
153	Machiavelli	Epistolario	Lettere_(Machiavelli)	-
154	Machiavelli	La Mandragola	La_mandragola	-
155	Pietro Bembo	Prose_della_volgar_lingua	Prose_della_volgar_lingua	-
156	Baldassarre Castiglione	Il_Cortegiano	Il_libro_del_Cortegiano	-
157	Francesco Guicciardini	Storia_d'Italia	Storia_d'Italia	-
158	Francesco Guicciardini	Storie_fiorentine	Storie_fiorentine_dal_1378_al_1509	-
159	Francesco Guicciardini	Ricordi_politici_e_civili	Ricordi	-
160	Francesco Guicciardini	Considerazioni_sui_Discorsi_del_Machiavelli	Considerazioni_intorno_ai_Discorsi_del_Machiavelli_sopra_la_prima_Deca_di_Tito_Livio	-
161	Ludovico Ariosto	Satire	Satire_(Ariosto)	-
162	Ludovico Ariosto	Orlando_furioso	Orlando_furioso_(ed. 1928)	-
163	Ludovico Ariosto	Proemio dell'Orlando	Canto_1	-
164	Ludovico Ariosto	La follia di Orlando	Canto_23	-
165	Ludovico Ariosto	Ritrovamento del senno di Orlando	Canto_34	-
166	Ludovico Ariosto	Duello di Rodomonte e Ruggero	Canto_46	-
167	Torquato Tasso	Rime	-	-
168	Torquato Tasso	Gerusalemme_liberata	Gerusalemme_liberata	-
169	Torquato Tasso	Proemio della Gerusalemme	Canto_primo	-
170	Torquato Tasso	Olindo e Sofronia	Canto_secondo	-
171	Torquato Tasso	Tancredi vs. Clorinda	Canto_dodicesimo	-
172	Torquato Tasso	Aminta	Aminta	-
173	Giambattista Basile	Lo_cunto_de_li_cunti	Lo_cunto_de_li_cunti	-
174	Galileo Galilei	Sidereus_Nuncius	Sidereus_nuncius (la)	-
175	Galileo Galilei	Il_Saggiatore	Il_Saggiatore	-
176	Galileo Galilei	Dialogo_sopra_i_due_massimi_sistemi_del_mondo	Dialogo_sopra_i_due_massimi_sistemi_del_mondo	-
177	Giovan Battista Marino	L'Adone	Adone	-
178	Carlo Goldoni	La_locandiera	La_locandiera	-
179	Carlo Goldoni	Il_servitore_di_due_padroni	Il_servitore_di_due_padroni	-
180	Giuseppe Parini	Il_giorno	Il_Giorno	-
181	Giuseppe Parini	Odi	Odi	-
182	Vittorio Alfieri	Saul	Saul	-
183	Vincenzo_Monti	Vincenzo_Monti	Traduzioni_di_Vincenzo_Monti	-
184	Ugo Foscolo	Opere_di_Ugo_Foscolo	vedi sopra	-
185	Ugo Foscolo	Ultime_lettere_di_Jacopo_Ortis	Ultime_lettere_di_Jacopo_Ortis	-
186	Ugo Foscolo	A_Zacinto	A_Zacinto	-
187	Ugo Foscolo	Alla_sera	Alla_sera	-
188	Ugo Foscolo	In_morte_del_fratello_Giovanni	In_morte_del_fratello_Giovanni	-
189	Ugo Foscolo	Dei_sepolcri	Dei_Sepolcri	-
190	Ugo Foscolo	Le_Grazie_(Foscolo)	Le_Grazie	-
191	Ippolito Nievo	Le_confessioni_d'un_italiano	Le_confessioni_di_un_ottuagenario	-
192	Giuseppe Verdi	La_traviata	La_Traviata	-
193	Giuseppe Verdi	Va,_pensiero	Va,_pensiero	-
194	Alessandro Manzoni	Pensiero_e_poetica	-	-
195	Alessandro Manzoni	Opere_di_Alessandro_Manzoni		-
196	Alessandro Manzoni	Inni_sacri	Inni_sacri	-
197	Alessandro Manzoni	Il_cinque_maggio	Il_cinque_maggio	-
198	Alessandro Manzoni	Adelchi	Adelchi	-
199	Alessandro Manzoni	Il_Conte_di_Carmagnola	Il_Conte_di_Carmagnola	-
200	Alessandro Manzoni	Lettera al signor Chauvet	Testo francese	-
201	Alessandro Manzoni	Sul_romanticismo	Lettera_sul_romanticismo_a_d'Azeglio	-
202	Alessandro Manzoni	I_promessi_sposi	I_promessi_sposi	-
203	Giacomo Leopardi	Pensiero_e_poetica	-	-
204	Giacomo Leopardi	Opere_di_Giacomo_Leopardi	-	-
205	Giacomo Leopardi	Discorso di un italiano intorno alla poesia romantica	Discorso_di_un_italiano_intorno_alla_poesia_romantica	-
206	Giacomo Leopardi	Zibaldone	Zibaldone	-
207	Giacomo Leopardi	Canti	Canti	-
208	Giacomo Leopardi	Il_passero_solitario	Il_passero_solitario	-
209	Giacomo Leopardi	L'infinito	L'infinito	-
210	Giacomo Leopardi	Alla_luna	Alla_luna	-
211	Giacomo Leopardi	La_sera_del_dì_di_festa	La_sera_del_dì_di_festa	-
212	Giacomo Leopardi	Ad Angelo Mai	Ad Angelo Mai	-
213	Giacomo Leopardi	Ultimo_canto_di_Saffo	Ultimo_canto_di_Saffo	-
214	Giacomo Leopardi	A_Silvia	Canti_(Leopardi_-_Donati)/XXI._A_Silvia	-
215	Giacomo Leopardi	La_quiete_dopo_la_tempesta	La_quiete_dopo_la_tempesta	-
216	Giacomo Leopardi	Il_sabato_del_villaggio	Il_sabato_del_villaggio	-
217	Giacomo Leopardi	Canto_notturno_di_un_pastore_errante_dell'Asia	Canto_notturno_di_un_pastore_errante_dell'Asia	-
218	Giacomo Leopardi	A_se_stesso	A_se_stesso	-
219	Giacomo Leopardi	La_ginestra	La_ginestra	-
220	Giacomo Leopardi	Operette_morali	Operette_morali	-
221	Giacomo Leopardi	Analisi_delle_Operette_morali	-	-
222	Giacomo Leopardi	Appendice_alle_Operette_morali	-	-
223	Giacomo Leopardi	Paralipomeni_della_Batracomiomachia	Paralipomeni_della_Batracomiomachia	-
224	Giovanni Verga	Tecnica_narrativa_di_Giovanni_Verga	-	-
225	Giovanni Verga	Opere_e_poetica_di_Giovanni_Verga		-
226	Giovanni Verga	Vita_dei_campi (Novelle)	Vita_dei_campi	-
227	Giovanni Verga	Rosso_Malpelo	Rosso_Malpelo	-
228	Giovanni Verga	Novelle rusticane	Novelle_rusticane	-
229	Giovanni Verga	La_roba	La_roba	-
230	Giovanni Verga	Ciclo_dei_Vinti	-	-
231	Giovanni Verga	I_Malavoglia	I_Malavoglia	-
232	Giovanni Verga	Mastro-don_Gesualdo	Mastro-don_Gesualdo	-
233	Antonio Fogazzaro	Piccolo_mondo_antico	Piccolo_mondo_antico	-
234	Antonio Fogazzaro	Piccolo_mondo_moderno	Piccolo_mondo_moderno	-
235	Edmondo_De_Amicis	Cuore	Cuore_(1889)	-
236	Carlo_Collodi	Pinocchio	Le_avventure_di_Pinocchio	-
237	Giosuè Carducci	Odi_barbare	Odi_barbare	-
238	Giosuè Carducci	Rime_nuove	Rime_nuove	-
239	Giosuè Carducci	Pianto_antico	Pianto_antico	-
240	Giovanni Pascoli	Myricae	Myricae	-
241	Giovanni Pascoli	Il_fanciullino	Il_fanciullino	-
242	Giovanni Pascoli	Canti_di_Castelvecchio	Canti_di_Castelvecchio	-
243	Giovanni Pascoli	La_cavalla_storna	La_cavalla_storna	-
244	Giovanni Pascoli	Primi_poemetti	Primi_poemetti	-
245	Giovanni Pascoli	Pascoli latinista	Opera_quae_Iohannes_Pascoli_scripsit	-
246	Giovanni Pascoli	Dannunzianesimo	-	-
247	Giovanni Pascoli	Poeta_vate	-	-
248	Giovanni Pascoli	Motti_dannunziani	-	-
249	Giovanni Pascoli	Opere_di_D'Annunzio	-	-
250	Giovanni Pascoli	Alcyone	Alcyone	-
251	Giovanni Pascoli	La_pioggia_nel_pineto	La_pioggia_nel_pineto	-
252	Giovanni Pascoli	Il_piacere	Il_piacere	-
253	Filippo_Tommaso_Marinetti	Manifesto_del_Futurismo	Manifesto_del_futurismo	-
254	Filippo_Tommaso_Marinetti	Zang_Tumb_Tumb	boh, non c'è	-
