id	author	name	surname	author_w	author_ws_it	author_ws_la	period_	period	source	school
196	Alda_Merini	Alda	Merini	Alda_Merini	©	-	Dagli anni 80 in poi	19.8	it	-
197	Patrizia_Valduga	Patrizia	Valduga	Patrizia_Valduga	©	-	Dagli anni 80 in poi	19.8	it	-
198	Valerio_Magrelli	Valerio	Magrelli	Valerio_Magrelli	©	-	Dagli anni 80 in poi	19.8	it	-
199	Franco_Scataglini	Franco	Scataglini	Franco_Scataglini	©	-	Dagli anni 80 in poi	19.8	it	-
200	Milo_De_Angelis	Milo	De Angelis	Milo_De_Angelis	©	-	Dagli anni 80 in poi	19.8	it	-
201	Antonella_Anedda	Antonella	Anedda	Antonella_Anedda	©	-	Dagli anni 80 in poi	19.8	it	-
202	Umberto_Eco	Umberto	Eco	Umberto_Eco	©	-	Dagli anni 80 in poi	19.8	it	-
203	Pier_Vittorio_Tondelli	Pier Vittorio	Tondelli	Pier_Vittorio_Tondelli	©	-	Dagli anni 80 in poi	19.8	it	-
204	Antonio_Tabucchi	Antonio	Tabucchi	Antonio_Tabucchi	©	-	Dagli anni 80 in poi	19.8	it	-
205	Aldo_Busi	Aldo	Busi	Aldo_Busi	©	-	Dagli anni 80 in poi	19.8	it	-
206	Claudio_Magris	Claudio	Magris	Claudio_Magris	©	-	Dagli anni 80 in poi	19.8	it	-
207	Giuseppe_Pontiggia	Giuseppe	Pontiggia	Giuseppe_Pontiggia	©	-	Dagli anni 80 in poi	19.8	it	-
208	Silvia_Ballestra	Silvia	Ballestra	Silvia_Ballestra	©	-	Dagli anni 80 in poi	19.8	it	-
