id	author	pubb_w	pubbl_it	pubbl_la	period	source	school
121	Dante Alighieri	Monarchia_(Dante)	Monarchia	-	XIII secolo - Scuola toscana	it	-
122	Dante Alighieri	Epistole_(Dante_Alighieri)	Epistole_(Dante)	-	XIII secolo - Scuola toscana	it	-
123	Dante Alighieri	Epistola_XIII_a_Cangrande_della_Scala		-	XIII secolo - Scuola toscana	it	-
124	Dante Alighieri	Egloghe	Egloghe	-	XIII secolo - Scuola toscana	it	-
125	Dante Alighieri	Quaestio_de_aqua_et_terra		-	XIII secolo - Scuola toscana	it	-
126	Dante Alighieri	Influenza_culturale_di_Dante_Alighieri		-	XIII secolo - Scuola toscana	it	-
127	Marco Polo	Il_Milione	Milione	-	Secolo XIII - prosa narrativa	it	-
128	Franco Sacchetti	Il_Trecentonovelle	Il_Trecentonovelle	-	Secolo XIV	it	-
129	Petrarca	Laura_de_Noves	-	-	Secolo XIV	it	-
130	Petrarca	Epistole	Epistolae_familiares	-	Secolo XIV	it	-
131	Petrarca	Secretum	Il_mio_segreto	-	Secolo XIV	it	-
132	Petrarca	Canzoniere	Canzoniere	-	Secolo XIV	it	-
133	Petrarca	Voi ch'ascoltate in rime sparse il suono	Voi ch'ascoltate in rime sparse il suono	-	Secolo XIV	it	-
134	Petrarca	Chiare,_fresche_et_dolci_acque	Chiare,_fresche_et_dolci_acque	-	Secolo XIV	it	-
135	Petrarca	Erano_i_capei_d'oro_a_l'aura_sparsi	Erano_i_capei_d'oro_a_l'aura_sparsi	-	Secolo XIV	it	-
136	Petrarca	Italia_mia,_benché_'l_parlar_sia_indarno	Italia_mia,_benché_'l_parlar_sia_indarno	-	Secolo XIV	it	-
137	Petrarca	Solo_et_pensoso_i_più_deserti_campi	Solo_et_pensoso_i_più_deserti_campi	-	Secolo XIV	it	-
138	Petrarca	I_Trionfi	Trionfi	-	Secolo XIV	it	-
139	Boccaccio	Opere_della_giovinezza_di_Giovanni_Boccaccio		-	Secolo XIV	it	-
140	Boccaccio	Filostrato	Il Filostrato	-	Secolo XIV	it	-
141	Boccaccio	Comedia_delle_ninfe_fiorentine	Canto_di_Ameto	-	Secolo XIV	it	-
142	Boccaccio	Decameron	Decameron	-	Secolo XIV	it	-
143	Boccaccio	Categoria:Personaggi_del_Decameron		-	Secolo XIV	it	-
144	Boccaccio	Struttura_del_Decameron		-	Secolo XIV	it	-
145	Boccaccio	Il_Corbaccio	Il_Corbaccio	-	Secolo XIV	it	-
146	Lorenzo de' Medici	Il_trionfo_di_Bacco_e_Arianna	Canzona di Bacco	-	XV Secolo	it	-
147	Luigi Pulci	Morgante_(poema)	Morgante_maggiore	-	XV Secolo	it	-
148	Matteo Maria Boiardo	Amorum_libri_tres	--	-	XV Secolo	it	-
149	Matteo Maria Boiardo	Orlando_innamorato	Orlando_innamorato	-	XV Secolo	it	-
150	Poliziano	Rime	Ben_venga_maggio	-	XV Secolo	it	-
151	Machiavelli	Machiavellismo		-	XV Secolo	it	-
152	Machiavelli	Il_principe	Il_Principe	-	XV Secolo	it	-
153	Machiavelli	Cesare_Borgia (approfondimento al Principe)		-	XV Secolo	it	-
154	Machiavelli	Discorsi_sopra_la_prima_Deca_di_Tito_Livio	Discorsi_sopra_la_prima_Deca_di_Tito_Livio	-	XV Secolo	it	-
155	Machiavelli	Epistolario	Lettere_(Machiavelli)	-	XV Secolo	it	-
156	Machiavelli	La Mandragola	La_mandragola	-	XV Secolo	it	-
157	Pietro Bembo	Prose_della_volgar_lingua	Prose_della_volgar_lingua	-	XVI Secolo	it	-
158	Baldassarre Castiglione	Il_Cortegiano	Il_libro_del_Cortegiano	-	XVI Secolo	it	-
159	Francesco Guicciardini	Storia_d'Italia	Storia_d'Italia	-	XVI Secolo	it	-
160	Francesco Guicciardini	Storie_fiorentine	Storie_fiorentine_dal_1378_al_1509	-	XVI Secolo	it	-
161	Francesco Guicciardini	Ricordi_politici_e_civili	Ricordi	-	XVI Secolo	it	-
162	Francesco Guicciardini	Considerazioni_sui_Discorsi_del_Machiavelli	Considerazioni_intorno_ai_Discorsi_del_Machiavelli_sopra_la_prima_Deca_di_Tito_Livio	-	XVI Secolo	it	-
163	Ludovico Ariosto	Satire	Satire_(Ariosto)	-	XVI Secolo	it	-
164	Ludovico Ariosto	Orlando_furioso	Orlando_furioso_(ed. 1928)	-	XVI Secolo	it	-
165	Ludovico Ariosto	Proemio dell'Orlando	Canto_1	-	XVI Secolo	it	-
166	Ludovico Ariosto	La follia di Orlando	Canto_23	-	XVI Secolo	it	-
167	Ludovico Ariosto	Ritrovamento del senno di Orlando	Canto_34	-	XVI Secolo	it	-
168	Ludovico Ariosto	Duello di Rodomonte e Ruggero	Canto_46	-	XVI Secolo	it	-
169	Torquato Tasso	Rime	-	-	XVI Secolo	it	-
170	Torquato Tasso	Gerusalemme_liberata	Gerusalemme_liberata	-	XVI Secolo	it	-
171	Torquato Tasso	Proemio della Gerusalemme	Canto_primo	-	XVI Secolo	it	-
172	Torquato Tasso	Olindo e Sofronia	Canto_secondo	-	XVI Secolo	it	-
173	Torquato Tasso	Tancredi vs. Clorinda	Canto_dodicesimo	-	XVI Secolo	it	-
174	Torquato Tasso	Aminta	Aminta	-	XVI Secolo	it	-
175	Giambattista Basile	Lo_cunto_de_li_cunti	Lo_cunto_de_li_cunti	-	XVII Secolo	it	-
176	Galileo Galilei	Sidereus_Nuncius	Sidereus_nuncius (la)	-	XVII Secolo	it	-
177	Galileo Galilei	Il_Saggiatore	Il_Saggiatore	-	XVII Secolo	it	-
178	Galileo Galilei	Dialogo_sopra_i_due_massimi_sistemi_del_mondo	Dialogo_sopra_i_due_massimi_sistemi_del_mondo	-	XVII Secolo	it	-
179	Giovan Battista Marino	L'Adone	Adone	-	XVII Secolo	it	-
180	Carlo Goldoni	La_locandiera	La_locandiera	-	XVIII Secolo	it	-
181	Carlo Goldoni	Il_servitore_di_due_padroni	Il_servitore_di_due_padroni	-	XVIII Secolo	it	-
182	Giuseppe Parini	Il_giorno	Il_Giorno	-	XVIII Secolo	it	-
183	Giuseppe Parini	Odi	Odi	-	XVIII Secolo	it	-
184	Vittorio Alfieri	Saul	Saul	-	XVIII Secolo	it	-
185	Vincenzo_Monti	Vincenzo_Monti	Traduzioni_di_Vincenzo_Monti	-	Fra XVIII e XIX sec.	it	-
186	Ugo Foscolo	Opere_di_Ugo_Foscolo	vedi sopra	-	Fra XVIII e XIX sec.	it	-
187	Ugo Foscolo	Ultime_lettere_di_Jacopo_Ortis	Ultime_lettere_di_Jacopo_Ortis	-	Fra XVIII e XIX sec.	it	-
188	Ugo Foscolo	A_Zacinto	A_Zacinto	-	Fra XVIII e XIX sec.	it	-
189	Ugo Foscolo	Alla_sera	Alla_sera	-	Fra XVIII e XIX sec.	it	-
190	Ugo Foscolo	In_morte_del_fratello_Giovanni	In_morte_del_fratello_Giovanni	-	Fra XVIII e XIX sec.	it	-
191	Ugo Foscolo	Dei_sepolcri	Dei_Sepolcri	-	Fra XVIII e XIX sec.	it	-
192	Ugo Foscolo	Le_Grazie_(Foscolo)	Le_Grazie	-	Fra XVIII e XIX sec.	it	-
193	Ippolito Nievo	Le_confessioni_d'un_italiano	Le_confessioni_di_un_ottuagenario	-	Primo Ottocento	it	-
194	Giuseppe Verdi	La_traviata	La_Traviata	-	Primo Ottocento	it	-
195	Giuseppe Verdi	Va,_pensiero	Va,_pensiero	-	Primo Ottocento	it	-
196	Alessandro Manzoni	Pensiero_e_poetica		-	Primo Ottocento	it	-
197	Alessandro Manzoni	Opere_di_Alessandro_Manzoni		-	Primo Ottocento	it	-
198	Alessandro Manzoni	Inni_sacri	Inni_sacri	-	Primo Ottocento	it	-
199	Alessandro Manzoni	Il_cinque_maggio	Il_cinque_maggio	-	Primo Ottocento	it	-
200	Alessandro Manzoni	Adelchi	Adelchi	-	Primo Ottocento	it	-
201	Alessandro Manzoni	Il_Conte_di_Carmagnola	Il_Conte_di_Carmagnola	-	Primo Ottocento	it	-
202	Alessandro Manzoni	Lettera al signor Chauvet	Testo francese	-	Primo Ottocento	it	-
203	Alessandro Manzoni	Sul_romanticismo	Lettera_sul_romanticismo_a_d'Azeglio	-	Primo Ottocento	it	-
204	Alessandro Manzoni	I_promessi_sposi	I_promessi_sposi	-	Primo Ottocento	it	-
205	Giacomo Leopardi	Pensiero_e_poetica	-	-	Primo Ottocento	it	-
206	Giacomo Leopardi	Opere_di_Giacomo_Leopardi		-	Primo Ottocento	it	-
