id	subject	school	theme	argument	exhisting	article	average_daily_visit	Visite da 1/7/2015 al 31/05/2020	Media visite giornaliere 2019	size	notes	images	incipit_size	incipit_on_size	issues	Fonte necessaria	Chiarire	discussion_size	year	references	first_edit	days
1340	Geografia		Oceania e poli	Artide	1	Artide	265	476935	270	20321	21	9	1034	5.09	0	1	0	6971	???	3	2005-03-31	5541
1152	Geografia		Geografia politica ed economica	artigianato	1	Artigianato	77	138339	65	21009	1	5	1516	7.22	0	0	0	2006-06-25	???	8	2006-06-25	5090
3517	Storia dell'arte	Superiori	Il primo Novecento		1	Arturo Martini	37	66927	46	20485	25	6	251	1.23	0	0	0	2479	???	14	2006-03-09	5198
1646	Informatica	Superiori	Basi dell'informatica		1	ASCII	483	867626	443	26339	3	4	667	2.53	1	0	0	10179	2	0	2003-12-04	6024
1290	Geografia		Asia	Asia	1	Asia	644	1156828	681	17263	4	3	661	3.83	1	0	0	2654	???	0	2003-03-11	6292
3823	Matematica	Superiori	Studio di funzioni	Funzioni continue	1	Asintoto	99	177782	76	7182	5	2	780	10.86	1	0	0	752	2.5	7	2005-08-10	5409
155	Biologia	Superiori	Corpo umano	Sistema endocrino	1	Asse ipotalamo-ipofisi-tiroide	21	37624	19	2128	1	1	1172	55.08	0	0	0	93	2	2	2014-04-20	2234
2874	Storia	Superiori	Basso medioevo	La caduta di Costantinopoli	1	Assedio_di_Costantinopoli_(1453)	193	347000	181	31459	17	13	2525	8.03	0	2	0	5504	???	19	???	#VALUE!
2837	Storia	Superiori	Basso medioevo	Assedio di Gerusalemme	1	Assedio_di_Gerusalemme_(1099)	40	71923	41	26568	10	12	372	1.40	0	0	0	457	???	9	???	#VALUE!
2775	Storia	Superiori	Alto medioevo	Saccheggio di Pavia	1	Assedio_di_Pavia_(773-774)	3	4538	6	9174	8	1	912	9.94	1	0	0	1408	???	4	???	#VALUE!
476	Cittadinanza e costituzione	Superiori	Storia della Costituzione Italiana		1	Assemblea Costituente (Italia)	410	737291	409	31232	35	6	768	2.46	0	0	0	2260	???	2	???	#VALUE!
